,title,date,content
20,가을장마 일기에 대비하는 코펜보이들♡,7일 전,"여름 장마기간에도 거의 내리지 않던 비가 2차로 가을장마로 이어지나봐요. 고뢔서 저희 집 코펜보이들 오늘의 외출복은 우비차림♡ 우비도 한 명은 싱글코트. 다른 한 아이는 더블코트. 단추의 문양이며, 옷깃의 디자인..."
21,"가을장마는 왜 일어나나, 9월초까지 계속",4일 전,"남쪽 북태평양 고기압이 확장하며 시작되는 여름 장마와 달리, 가을 장마는 북쪽 찬 공기가 아래로 밀고 내려오면서 시작됩니다. 여름이 지나고 공기가 선선해지는 가을 무렵 다시 정체전선이 활성화돼 나타나는..."
22,8/28 배스낚시 밸리피싱. 가을은 바이브레이션. (장마 포지션 難),어제,#피싱쿨 #라팔라 #디퍼어군탐지기 기나긴 가을 장마. 비가 암울하게 내리네요. 예상외의 지속되는 기상 악화.... 가을은 바이브레이션의 계절(?) 고대하던 덩어리의 입질. 소중한 나의 덩어리 배스. 찌이익~ 틱~ 순간이동...
23,가을장마 너무 기네요..,16시간 전,일몰보는게 제 하루의 보상이자 낙인데 가을장마가 길어도 너무 기네요 하루종일 맑은 하늘 본지가 언제인지 기억이 나지 않아요.. 그나마 어제 평화로운 바닷마을에서 잠깐 보여준 일몰 사진찍어둔거 보며 위안을 ㅠㅠ...
24,가을장마에 갈곳은 없다,2021.08.21.,나머지는 회사동생 먹으라고 보낼예정 한판 끝냈으니 이제 저는 호박부침을 빠른 호박 소진을 위해 저는 호박요리 또 무엇을 해야할까요 아직도 집에 호박이가 5개 대기중에 있어요 #호박대란 #호박만듀 #호박전 #가을장마
25,가을 장마 후의 어느날(+솔내음 캠핑장),4일 전,처음 들어보는 듯한 가을 장마 며칠을 이어진 긴 비가 지나가고 비가 그친 어느날 하루 집근처 솔내음 캠핑장 렛츠고-! (이정도면 나름 도심속 야영장) 관리동 입구쪽의 매점에는 편의점처럼 거의 없는게 없음. (단...
26,가을장마 비조심하세요!,6일 전,벌써 토요일 날씨가 걱정인데.....ㅎㅎㅎ 이렇게 비가 많이 오면 좀 쉬는것도 좋을것 같습니다. 비조심하시고 건강챙기고 장비 정비하며 가을장마 견디자구요! 사진이 딱 제 마음이네요. 떠나고 싶어요........
27,가을장마 시작,2021.08.21.,좋아했는데 가을장마가 심상치가 않네요 오히려 여름장마보다 더 길고 많아질것 같은 예감이 드네요 뭐 하늘이 하는거라 피할 방법도 없고 그냥 자연에 맡기는수밖에 없습니다. 이제 추석이 딱 한달 남았네요 이맘때쯤...
28,석류의꿈_왠 가을장마에 몸살이 난다,6일 전,"석류나무에는 추비(과수, 수목 또는 다년생 초본류에서 가을에 비료를 사용하는 것)를 하지 않습니다. 정해진... 명인 손흥민선수 #고흥 #국내산석류 #고흥석류 #고흥유자 #석류의꿈 #가을장마 #석류나무 #추비 #감사비료 #침묵"
29,가을 장마라고 하던데....,2021.08.21.,바람 또한 선선한 가을 바람이 아닌 강풍 수준이네요.. 아침에 본가로 복귀한 마나님을 영접하고 나서 바로... 지대가 높아서인지 비가 오는 장마철에도 습함을 느끼지 못하는 호사를 누리고 있는 곳입니다. 가을장마가...
30,"[건돼] 가을장마 사이, 아침 만보걷기",5일 전,태풍은 지나갔지만 가을 장마로 하늘이 구름가득입니다. 예전에도 가을에 이렇듯 비가 많이 왔었던가요.. Previous image Next image 호수 수면에도 구름이 가득합니다. 거미도 빗물을 피해 부산하네요. 아침 운동하는 사람들의...
31,가을장마라네요,2021.08.17.,아침에 일기예보 보고 오잉? 무슨 비가 계속온다지 싶어서 기사 찾아보니 가을장마라네요.. 당분간 비가 자주 오나봐요
32,가을장마기간나무심기,5일 전,#판매방 가을 장마기간 입니다 공중습도가 기장 많은 시기에 나무가 잘 살아 벤님들에게 특별할인가로... 있습니다 장마기간 어린포트 모를 노지에 3.000주 이식하였습니다 노지1m정도 분을떠 1.000주도 이식...
33,"호된 가을장마, 칠보산자연휴양림 짙은 소나무 숲 캠핑",7일 전,"가을장마란다. 비가 내린다. 파도치는 해변, 보이는 대로 오랜만에 찾아가는 칠보산자연휴양림 건너뛰기... 조용한 숲속의 밤 가을 전령, 귀뚜라미 우는소리가 들린다. 비가 그치고 달이 나왔다. 잔뜩 물먹은 숲에 썰렁한..."
34,2021 가을장마 기간동안 제주도 관광지 어딜 가보면 좋을까,6일 전,2021 가을장마 기간동안 제주도 관광지 어딜 가보면 좋을까 오늘 제주도날씨는 그야말로 꿉꿉함과 어지러움... 태풍 오마이스가 지나가며 가을장마가 시작되었다고 해요 . 2021년 가을 장마는 이제 시작되었고 9월 초까지...
35,표고버섯재배-표고버섯효능:가을장마 땜시 마이너스의 손(?) 되나,3일 전,"일반적으로 말복이 지나고, 입추지난 후부터 9월 초순(?)까지 가을철에 잠시 장마가 올때가 있는데 대부분의 농작물이 수확이 다가오는 시기라 어쩌면 여름장마보다 더 무서운게 가을장마랍니다. 슬슬 생표고버섯 주문도..."
36,가을장마 일요일 현재 시각 실상황,2일 전,일요일 현재 이시각 현장 상황 가을 장마 치곤 손세차도 들어와주고 셀프세차도 계속오니 성수기 때만큼은... 해가 쨍쨍 뜨네요ㅎ 겨울에 바짝 벌어 놔야 겠어요 언제또 이번 2차 가을장마 처럼 하늘이 미칠지 모르니깐요 ㅋ
37,가을장마,2021.08.21.,되었는데 가을장마에 침수되기는 처음인거 같습니다 저렇게 물이 위험하게 내려가는데 차량이나 보행자... 생각에 잠기기 좋은 곳이지요 다음주에도 가을장마가 지속된다고 하니 모두들 조심하시기 바랍니다 감사합니다
38,가을장마 너울속에 에깅 무늬오징어낚시 포인트 공략,2021.08.21.,주말부터 가을장마가 한반도에 북상 한다는 소식에 워킹 에깅 무늬오징어낚시 다녀왔습니다 당사항 바다가 보이는 곳에서 먹빵부터~^^ 올해 너울속에 출조가 많네요 ㅠㅠ 너울속에 무늬오징어도 먹이 사냥 힘들겠지...
39,담양 병풍산/한재~병풍산 정상~한재 코스/가을장마중에 아름다운 운해를 즐기다.,8시간 전,가을장마로 연일 오락가락하는 날씨에 토요일도 비가 내린다는 기상청의 예보와는 다르게 새벽에 눈을 떠보니 비는 내리질 않는다. 보온병에 따뜻한 물 한병과 생수 한병 챙겨들고 병풍산으로 향한다. 능선에서는 가을을...
40,아! 가을 장마 여~~~!,5시간 전,가을 장마에 잡초만 살 맛 났다 수확 끝난 옥수수 두둑은 을시년 스럽다 들깨는 꽃을 피우시 시작하고 몇 개... 여주꽃이 피고 지고를 반복하니 눈 호강도 좋아라 가을장마...이제 그만 좀 왔으면...바램이지만이번주...
41,가을장마,2021.08.22.,"가을장마탓에 연일 컴커므레한 시간이 흐르고 있어요. 엊그제까진 걸었는데 또 집콕이 이어지고 있고, 거리두기시간도 1시간 당겨져서 9시까지가 되네요. 저야 뭐 아무런 상관이 없는 시간대이긴 하지만요. 모두가 잘..."
42,가을 장마 시작 - 캠핑 중 집중호우 발생 시 안전 요령.,6일 전,"designboom designboom 가을 장마 시작, 장마철 캠핑족을 위한 안전 수칙. 이것만은 기억하자! ▶ 첫째, 산지·계곡 등에서 캠핑 중에 비가 오면 기상정보를 확인하고 일단 안전한 대피 장소로 이동하는 것이원칙이다...."
43,가을장마 속 청송사과 과수원 모습,2021.08.21.,많이요 가을비는 농사에 아무 도움도 안 되는데 난데없는 가을장마라니 청송사과 이모의 마음을 애태우게 합니다 가을장마 시작 비 내리는 청송사과 과수원 빗줄기가 살짝 약해진 틈을 타 잠깐 청송사과 과수원을 거닐어...
44,곰팡이 옷 습격! 가을장마 피해에 제습제 리필로 방어,3시간 전,(제습제는 10개 정도만 놔뒀어요) 가을 장마가 오더니 결국 끝물에 곰팡이가 스물스물.. 올라오고 말았습니다.... 가능했지만 가을 장마는 정말 기네요. 습한 공기로 빨래가 잘 안마를까봐 작년의 1/4정도의 피해인데도 일부러...
45,주말부터 소나기를 동반한 가을장마 시작!,2021.08.18.,2차 장마가 시작돼 8월 중순부터 ~ 9월 초순까지 2021년 가을장마 기간이라고 합니다. 지구 온난화 때문에 이제는 가을 장마란게 생겼어요! 코로나19로 가뜩이나 어려운데... 비가 오면 더 걱정인 자영업자들이...
46,가을 장마 - 오행의 土,2021.08.21.,"가을 장마. 火 기운인 여름이 지나가고 金 기운인 가을이 오는 중간에 끼어 있는 土에 해당되는 시기입니다. 이 시기를 장하라고 부르기도 한답니다. 세상 모든 일이 그렇지만, 오늘까지는 여름, 내일부터는 가을 이런 건..."
47,가을장마,5시간 전,가을장마! 익숙하지 않지만 가을 장마가 이어지고 있습니다. 늘 해오던 일 멈추고 창밖을 바라보는 조금은 지루한 날들 하늘도 알고 있음인지 가끔은 위로하듯 해질녁 멋진 하늘 보여줍니다. 보령 주포면 해넘이 이웃님들...
48,가을장마 부작용,어제,가을장마에 텃밭도 여기저기 아파지고 있어 안타깝다. 먼저 방울토마토는 빨간색 좀 있는것들은 거의... 하니 시도해 봐야겠다 뭐든지 넘치면 모자람만 못하다라는 말이 특히 농사에는 딱 맞는말 같다. 요즘 가을장마 말이다.
49,극성수기가 지난 가을장마 속의 제주 협재해수욕장,7일 전,"가을장마가 계속되는 제주도 날씨 속에서 태풍이 지나가고 난 후, 협재해수욕장을 찾아보았습니다. 참고로... 지난 극성수기였던 때, 그리고 지금의 가을장마와 태풍 속에서도 변함없는 것은 비양도뿐인 듯합니다...."
50,"8월의 끝자락, 가을장마, 현실식단일기 ෆ",5일 전,제발 가을장마 시키야 그만해 눈치챙겨. 이번주에 나 캠핑갈꺼란말이야ㅠ 비를 뚫고 백화점 도착해서 오빠랑 만났어요. 고맙게도 부모님댁 이사했다고 선물 사주신다는 남친님. 왠만한 건 다 갖춰져있는데 에어프라이어...
51,가을 장마에도 열일중인 시계초,어제,가을 장마에 하루종일 부슬거리다 흐리다를 반복하다 어제 모처럼 파란 하늘 보여주어 좋았다. 이번 주도 비소식이 잦더니 자판을 두드리는 사이 빗소리가 들린다. 그럼에도 쉼없이 신비롭게 피고지는 시계초가 있어...
52,가을 장마가 지나간걸까요?,어제,가을 장마가 여름 장마보다 더 한 것 같아요. 여름 장마 대비해서 포크레인으로 여기저기 수로를 파 놓았고 비소식이 있어도 괜찮을 줄 알았는데 가을장마에 단지 여기저기 없던 강이 생겨났네요. 내년부터는 무조건 강한...
53,"다육식물 알로에 꽃말, 가을장마",2일 전,2차 장마라고도 불리는 가을장마가 여름 장마보다 더 강하고 길군요. 온갖 과일과 곡식들이 여물어가는 시기인데요. 이웃님들께 비 피해 없기를 바랍니다. 우리 집 베란다에서 2011년부터 키우고 있는 #알로에 입니다. 아는...
54,가을장마 인사말해줘요.햇살이 그리워요!!,5일 전,가을 장마가 지역적으로 태풍영향을 받아 폭우가 되어 피해가 되고 있습니다. 여름 가뭄은 이미 해갈 된지... 이번 쑥 미숫가루가 마지막 미숫가루 가됩니다.다음 미숫가루는 10월이 되서야 가을쑥 채취한뒤 나올겁니다....
55,"가을장마 옷장 습기제거, 나는 제습제 입니다",6일 전,정말 쉽죠잉~~~ 10개나 있기 때문에 올 가을장마는 든든하게 버틸 수 있을 듯 합니다. 이웃님들고 함께 뽀송하게 이 장마를 견뎌보아요~ 딸래미 방에도 이렇게 걸어주었어요~~ 내새끼는 소중하니까요 #장마 #옷장제습 #제습제...
56,가을장마,2일 전,"다시 비가 요란하게 퍼부어대고 있습니다. 장마가 끝나야 곡식이 익어 갈텐데, 비는 아랑곳하지 않네요 농부는 여전히 농사 걱정입니다... 내 인생의 가을에 때 늦은 장맛비가 끊임없이 내리고 있습니다."
57,진돌이 산책일기 6:00-7:00 가을장마 하루 전,2021.08.20.,밤에는 쌀쌀하고 해가 짧아졌다 내일부터 가을장마라고 해서 다녀왔다 동생이 다이어트 한다고 사놓고 안먹어서 진돌이 순심이 두미 간식이 되었는데 이 3봉지가 마지막이다 근데 한 봉지는 청양고추맛이라 버렸다 큐브로...
58,"12호태풍오마이스 우리나라로 북상중, 가을장마 와 겹쳐 강풍과폭우 예상, 블루베리래빗아이수확",2021.08.23.,"12호태풍오마이스 우리나라로 북상중, 가을장마 와 겹쳐 강풍과폭우 예상, 블루베리래빗아이수확 바람없이... 이계절에 먹는다는게 어디에요?ㅎ (래빗라인 앞에 #파우더블루) 다품종수확 지난여름 긴장마 농장피해 가..."
59,가을 장마,2일 전,가뜩이나 눅눅한 곳인데 가을 장마라니... 장작을 잔뜩 쑤셔넣고 불 구경 하다가 잠들었다. 아침에 비오는 소리에 눈을 떴다. 빗소리가 심상치 않다. 일기예보를 보니 점심때 쯤 비가 그치는 것으로 되어있길래 그냥...
60,오늘일기 : 가을장마라는 참 이상한 시간,7일 전,우리가 늘 장마라고 생각하던 초여름의 시간에는 비가 통 안오고 지나가더니 가을이 시작되는 이 싯점에 왠 가을장마.... 그것도 짧지도 않고 길게 이어지고 있고 곳곳에 물폭탄이라니.... 이 생소한 시간 이라는 느낌....
61,가을장마 이제 좀 지겹네요,5시간 전,이렇게 오래 가는 가을장마 첨 보는 것 같습니다. 잠깐 나오는 해 말고 쨍한 햇살 맞아 본지도 한참 된것 같네요... 쟁여놓은 목재들 습기 먹는 것도 싫지만 가을로 접어들면 청명한 하늘 기분좋은 바람 뭐 이런게 있어야...
62,"2021년 가을 장마, 중국 일본 강타한 장마가 온다/장마철",2021.08.20.,"가을 장마가 본격적으로 시작되려고 하나봐요. 일본과 중국을 강타한 장마가 국내에도 오늘 밤 부터 본격적으로 시작 될 것이라고 기상청에서 발표했습니다. 기상청에 따르면 20일 밤부터 제주도와 남해안, 경남을..."
63,가을장마 소강상태에 다녀온 기흥호수...,2일 전,"가을장마가 잠시 주춤, 기흥호수 다녀왔단...ㅎ 주중에 계속 가을장마로 비가 이어 졌는데, 주말오전에... 2021.8.28 #8월 #초가을 #장마소강상태 #주말루틴 #기흥호수트래킹 #아람산 #기흥호수뷰맛집"
64,참깨 와 가을장마,3일 전,가을장마에 속수무책인 참깨는 수확을 해도 검은색이 나서 볼품도 없지만 고소함도 덜하다 애타는 농심이... 들판에서 가을을 본다 대추와 탱자가 눈길을 끈다 좀작살나무 열매가 곱다 꽃물 들이던 옛 추억이 생각나서 한...
65,가을장마 속의 피서,3일 전,"금년의 날씨는 도대체 알 수가 없다, 더위, 장마, 폭염, 가뭄, 가을장마, 등 여기다 코로나 역병까지 사람을... 분위기는 가을인데 기온은 여름이다. 자연발생 계곡으로 아는 사람들만 찾는 곳이라 흐르는 물을 그냥 마셔도..."
66,[집콕간식] 가을장마 비오는 날 《치즈 품은 감자채전》,7일 전,문질빈빈입니다 가을장마에 태풍 오마이스까지 영남지방은 물폭탄이 쏟아졌다던데 다들 괜찮으신가요? 아침밥 듬뿍 먹은지 얼마되지도 않았는데 벌써 점심시간이라니... 아이가 개학 후에는 점심시간을 칼같이 지키는데...
67,가을장마가 시작되기 전 오랜만에 마곡사 라이딩,7일 전,가을장마가 시작되기 전 오랜만에 마곡사 라이딩 운동하는 아저씨 어른왕자입니다. 가을 장마가 시작되기 전이니 벌써 2주전 라이딩 사진이네요. 천안에서 자전거 타는 사람들이 최애코스로 가는곳이 마곡사가 아닐까...
68,가을 장마,5일 전,금년 장마는 건 장마로 비도 제대로 내리지못하고 마른 장마가 되더니 요즘 가을 장마로 피해가 많아지고 있다. 예전보다는 하천 정비가 잘 되어있고 펌프장이 여러곳 늘어나면서 김포 평야엔 그다지 장마의 영향이 없다고...
69,월평공원 도솔산 가을장마 주춤,2일 전,가을 장마가 주춤 잠시 숨고르기를 한다. 아침에 내리던 비는 그치고 곰탕 하늘은 오후 늦게 구름위로 가을 하늘을 보여준다. 4시가 넘어 휘리릭 도솔산 한바퀴 돌고 왔다. 도솔체육관~내원사~도솔산보루~가새바위...
70,출고인증해요~! e208 출고 하자마자 가을 장마네요.,7일 전,ㅋㅋㅋ 그래서 전시장에 입고되고 출고될 때 찍은 사진 올려봐용 ㅎ 가을장마로 비가 계속 오는데 모두 안전운전 해요 ㅎㅎ 비오는 출근길 정차중 소심하게 실내 한컷...ㅋㅋ
71,가을장마,3일 전,#가을장마 참 길게 느껴지는 장마지만 찬바람이 불어오니 견딜만하니 감사하네요.^^ 긴여름 장마비 가을장마... 꽃으로만 인사합니다.^^ 오늘낼은 비가 잠시 쉬려나 봅니다. 이가을에 즐거운 가드닝을 꿈꿔 봅니다.~~~~^^*
72,가을비 - 도종환 [가을의 시] [가을장마] [아름다운 시],2021.08.22.,진짜로 가을로 가기 위한 관문이 하나 더 있는 것 같습니다. 바로 `2차 장마' 가을장마가 남아있기 때문입니다. 기상청에 의하면 제법 많은 양의 가을비가 내릴 것으로 예상하고 있습니다. 오늘은 가을비를 소재로 한 시...
73,가을장마밉다,6일 전,"내일도 바쁘네. 오전에 커피약속있고, 오후엔 봐야될 유투브라이브 강의도 있으니. 부지런해야겠군. 그럼 오늘도 굳밤~~~~♡.♡ #일상기록 #가을장마 #빨리자자 #내일도으샤으샤"
74,0827 가을장마,4일 전,"#고레에다히로카즈 #태풍이지나가고 영화가 생각난다 태풍 오마이스가 지나가고 가을장마에 비는 계속 내린다 폭우 속 출퇴근길 운전이 무섭다 뜨거운 여름을 보내고 결실을 맺는 가을이 온다 올 해 첫 무화과, 지금이 제철..."
75,맛있는 귤을 위하여 긴 가을장마 끝자락에서 과수원 방제작업,3일 전,#노지귤 #가을장마 #방제작업 #풋귤마감 #맛있는_귤_기대 ^^ 안녕하세요 8월 마지마 주말 입니다 너무 아쉽네요 더워서 헉헉 거리긴 했지만 비만 온것 같이 8월은 대충 지낸듯 한 느낌이 들어요 휴가겸 쉬어 간다고...
76,2021년8월24일 부건농장 일기/고추농사/가을장마에 고추 4물따기,6일 전,가을장마가 시작되었다. 고추 4물따기 시작 고추도 이제는 끝을 향해 달리고 있다. 정식을 한지 엇그제 같은데 벌써 끝물을 향해 달리고 있으니 허무하기 그지없다. 그래도 아직은 몇번은 더 딸수 있으니 위안을...
77,가을장마 시작이네요.,2021.08.17.,태백산맥의 동쪽은 지난주말부터 여름끝 가을시작인 기분입니다. 더구나 가을장마가 시작되어 계속 비가 내려요.ㅜㅜ 어제 며칠간 내리던 비가 잠시 소강 상태일 때 전체적으로 소독 한번 했습니다. #체리묘목 #단감묘목...
78,[가을장마] 생식 생장용 보카시 비료 시비 전 잡초 제거 작업 착수~,5일 전,농원 개원 이래 여름 장마철도 한참 지난 가을 초입 처서에 이런 엄청난 장대비는 아마도 처음인 거 같다 며칠 전 이틀간에 걸쳐 물 폭탄을 쏟아부었다 근래 들어 자주 듣는 가을장마란 용어도 무척 낯설고 생소하다 간간이...
79,모두가 도시농부 도시농업 : 가을장마 텃밭 일상,4일 전,태풍이 지나가고 가을장마가 시작되어 내내 흐리다가 비가 그칠 때 텃밭에 다녀왔어요. 일주일 만에 주말농장에 갔더니 벌써 밭 갈고 가을배추 심은 밭들도 있더라고요. 밭에 새싹 난 거 보니 제 기분도 새롭더라고요. 다른...
80,여수 호랑산을 가다 - 가을 장마,3일 전,"없을듯하다 가을장마중 모처럼 주말날씨가 좋다 편백숲을 지나간다↑ 창고같은곳도 지나간다↑ 시멘트... 정문↑ 7구간종점이자 1구간시작점(12:50) 백신접종과 장마비로 4주만의 산행, 약3시간35분의 산행종료"
81,가을장마,4일 전,처서가지난지금 가을장마가 근열흘이넘도록 비가내리고 있다 거기다 태풍까지 남해안을 강타해 또한번 농심을 울려주고있다 옛말에 처서날비가오면 곡식머리 뿔이난다는 속담이있는데 올해는 비는고사하고 큰장마가...
82,가을장마 빗물 낙수(落水),6일 전,음력 8월 장마 올해는 가을장마라는 이름으로 음력 8월이 되기 전 장마가 찾아들어 비가 자주 내리고 또... 가을장맛비가 내리는 날 비를 피할 수 있는 자동차 전용 다리 상판에서 떨어지는 낙수(落水)를 카메라에 담아내며...
83,기나긴 가을장마 대비. 지붕공사뿐만 아니라 건물 외벽도 OK!! 멀티징크로 건물외벽 공사하기.,5일 전,"길었던 가을 장마가 잠시 소강상태에 접어 든 모양입니다. 많이 내린 비로 인해 여기저기에서 크고 작은 피해들이 속출하던데, 아무쪼록 모두 큰 피해없이 이번 장마가 지나가면 좋겠네요. 오늘은 상가건물 외벽공사건을..."
84,2021/08/24(+1151) - 가을 장마,4일 전,"가을 장마 너무 길다~~~~ 어쩔 수 없이 오늘은 방콕!!! 그림도 그리고... 블록놀이도 하다가... 책 보는 걸로 하루를 마무리... 오늘 읽어준 책 8권 / 누적 1060권(+3권) 1. 최고의 차 (글 다비드 칼리 & 그림 세바스티앙 무랭, 옮김..."
85,비내리는 날 누군가에 보내는 편지 -가을장마,6일 전,요즘 들어 비가 자주 오는군요.누군가 가을장마라고 합니다.이틀 전에는 이름도 특이한 태풍이 지나갔습니다.... 그래서 그 매미에게 지금의 가을 장마는 더욱 고통스러울 것입니다.어디 매미뿐이겠습니까...과수원에서...
86,<2021-076> 가을 장마?,2021.08.21.,이거 매스콤에서 얘기되던 가을 장마 아닌가 걱정도 된다. 반나절도 되지 않는 시간동안에 반갑던 비가 장마가 아닐까 걱정하고 있다. 다행스럽게도 점심식사를 하고나니 비가 그치고 하늘도 맑아진다. 사람의 간사한...
87,"장마, 그리고 가을 장마",2021.08.19.,선선해지고 가을이 다가오면 북태평양 기단이 힘이 약해지면서 북쪽으로 올라가 있던 장마 전선이 다시 남하하여 짧은 기간이지만 비를 뿌립니다 바로 가을장마 주말부터 가을장마 예보가 있네요 모두들 안전하게...
